Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1984;6620725
Ambos sexos;Total;02 Arag�n;1 de enero de 1984;1202320
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1984;1128561
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1984;674148
Ambos sexos;Total;05 Canarias;1 de enero de 1984;1412104
Ambos sexos;Total;06 Cantabria;1 de enero de 1984;521651
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1984;2590341
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1984;1659015
Ambos sexos;Total;09 Catalu�a;1 de enero de 1984;6012916
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1984;3728615
Ambos sexos;Total;11 Extremadura;1 de enero de 1984;1069446
Ambos sexos;Total;12 Galicia;1 de enero de 1984;2809230
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1984;4794710
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1984;986807
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1984;514836
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1984;2148648
Ambos sexos;Total;17 Rioja, La;1 de enero de 1984;258460
Ambos sexos;Total;18 Ceuta;1 de enero de 1984;65983
Ambos sexos;Total;19 Melilla;1 de enero de 1984;54383
