Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2013;8393159
Ambos sexos;Total;02 Arag�n;1 de enero de 2013;1338308
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2013;1067802
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2013;1110115
Ambos sexos;Total;05 Canarias;1 de enero de 2013;2105232
Ambos sexos;Total;06 Cantabria;1 de enero de 2013;590037
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2013;2518528
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2013;2094391
Ambos sexos;Total;09 Catalu�a;1 de enero de 2013;7480921
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2013;4987017
Ambos sexos;Total;11 Extremadura;1 de enero de 2013;1100968
Ambos sexos;Total;12 Galicia;1 de enero de 2013;2761970
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2013;6414709
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2013;1461987
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2013;638949
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2013;2177006
Ambos sexos;Total;17 Rioja, La;1 de enero de 2013;318639
Ambos sexos;Total;18 Ceuta;1 de enero de 2013;84534
Ambos sexos;Total;19 Melilla;1 de enero de 2013;83619
