Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2006;7865775
Ambos sexos;Total;02 Arag�n;1 de enero de 2006;1273568
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2006;1063488
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2006;970288
Ambos sexos;Total;05 Canarias;1 de enero de 2006;1899609
Ambos sexos;Total;06 Cantabria;1 de enero de 2006;561042
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2006;2494676
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2006;1917447
Ambos sexos;Total;09 Catalu�a;1 de enero de 2006;7010868
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2006;4681039
Ambos sexos;Total;11 Extremadura;1 de enero de 2006;1074930
Ambos sexos;Total;12 Galicia;1 de enero de 2006;2730097
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2006;5953604
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2006;1351109
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2006;592146
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2006;2127670
Ambos sexos;Total;17 Rioja, La;1 de enero de 2006;302697
Ambos sexos;Total;18 Ceuta;1 de enero de 2006;72806
Ambos sexos;Total;19 Melilla;1 de enero de 2006;67110
