Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1998;7221920
Ambos sexos;Total;02 Arag�n;1 de enero de 1998;1199172
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1998;1076012
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1998;792343
Ambos sexos;Total;05 Canarias;1 de enero de 1998;1622822
Ambos sexos;Total;06 Cantabria;1 de enero de 1998;532564
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1998;2494206
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1998;1725584
Ambos sexos;Total;09 Catalu�a;1 de enero de 1998;6233351
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1998;4049388
Ambos sexos;Total;11 Extremadura;1 de enero de 1998;1062980
Ambos sexos;Total;12 Galicia;1 de enero de 1998;2712444
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1998;5242444
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1998;1142030
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1998;541557
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1998;2089757
Ambos sexos;Total;17 Rioja, La;1 de enero de 1998;271423
Ambos sexos;Total;18 Ceuta;1 de enero de 1998;70311
Ambos sexos;Total;19 Melilla;1 de enero de 1998;63143
