Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2011;8332087
Ambos sexos;Total;02 Arag�n;1 de enero de 2011;1344396
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2011;1075877
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2011;1091656
Ambos sexos;Total;05 Canarias;1 de enero de 2011;2064876
Ambos sexos;Total;06 Cantabria;1 de enero de 2011;590874
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2011;2545286
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2011;2099057
Ambos sexos;Total;09 Catalu�a;1 de enero de 2011;7493252
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2011;4999211
Ambos sexos;Total;11 Extremadura;1 de enero de 2011;1102300
Ambos sexos;Total;12 Galicia;1 de enero de 2011;2773415
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2011;6394239
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2011;1459076
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2011;637099
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2011;2183134
Ambos sexos;Total;17 Rioja, La;1 de enero de 2011;320850
Ambos sexos;Total;18 Ceuta;1 de enero de 2011;81627
Ambos sexos;Total;19 Melilla;1 de enero de 2011;78863
