Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1996;7152486
Ambos sexos;Total;02 Arag�n;1 de enero de 1996;1197260
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1996;1082714
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1996;767952
Ambos sexos;Total;05 Canarias;1 de enero de 1996;1586644
Ambos sexos;Total;06 Cantabria;1 de enero de 1996;531601
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1996;2512008
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1996;1707702
Ambos sexos;Total;09 Catalu�a;1 de enero de 1996;6184328
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1996;3996734
Ambos sexos;Total;11 Extremadura;1 de enero de 1996;1064700
Ambos sexos;Total;12 Galicia;1 de enero de 1996;2722355
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1996;5157603
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1996;1114394
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1996;534844
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1996;2094857
Ambos sexos;Total;17 Rioja, La;1 de enero de 1996;269078
Ambos sexos;Total;18 Ceuta;1 de enero de 1996;69735
Ambos sexos;Total;19 Melilla;1 de enero de 1996;61381
