Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2008;8118575
Ambos sexos;Total;02 Arag�n;1 de enero de 2008;1325426
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2008;1071081
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2008;1042855
Ambos sexos;Total;05 Canarias;1 de enero de 2008;1991945
Ambos sexos;Total;06 Cantabria;1 de enero de 2008;577266
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2008;2541717
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2008;2031828
Ambos sexos;Total;09 Catalu�a;1 de enero de 2008;7311146
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2008;4928093
Ambos sexos;Total;11 Extremadura;1 de enero de 2008;1089650
Ambos sexos;Total;12 Galicia;1 de enero de 2008;2754768
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2008;6226195
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2008;1419567
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2008;616711
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2008;2159427
Ambos sexos;Total;17 Rioja, La;1 de enero de 2008;316192
Ambos sexos;Total;18 Ceuta;1 de enero de 2008;75252
Ambos sexos;Total;19 Melilla;1 de enero de 2008;71244
