Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2014;8388875
Ambos sexos;Total;02 Arag�n;1 de enero de 2014;1331301
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2014;1058975
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2014;1115841
Ambos sexos;Total;05 Canarias;1 de enero de 2014;2114845
Ambos sexos;Total;06 Cantabria;1 de enero de 2014;587682
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2014;2495689
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2014;2075197
Ambos sexos;Total;09 Catalu�a;1 de enero de 2014;7416237
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2014;4956427
Ambos sexos;Total;11 Extremadura;1 de enero de 2014;1096421
Ambos sexos;Total;12 Galicia;1 de enero de 2014;2747226
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2014;6378297
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2014;1461803
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2014;636450
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2014;2167166
Ambos sexos;Total;17 Rioja, La;1 de enero de 2014;315223
Ambos sexos;Total;18 Ceuta;1 de enero de 2014;84674
Ambos sexos;Total;19 Melilla;1 de enero de 2014;83870
