Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1987;6773974
Ambos sexos;Total;02 Arag�n;1 de enero de 1987;1199795
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1987;1119511
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1987;690608
Ambos sexos;Total;05 Canarias;1 de enero de 1987;1450022
Ambos sexos;Total;06 Cantabria;1 de enero de 1987;526081
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1987;2581893
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1987;1661437
Ambos sexos;Total;09 Catalu�a;1 de enero de 1987;6052938
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1987;3793143
Ambos sexos;Total;11 Extremadura;1 de enero de 1987;1068919
Ambos sexos;Total;12 Galicia;1 de enero de 1987;2786389
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1987;4879392
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1987;1013739
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1987;518071
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1987;2138880
Ambos sexos;Total;17 Rioja, La;1 de enero de 1987;261183
Ambos sexos;Total;18 Ceuta;1 de enero de 1987;66657
Ambos sexos;Total;19 Melilla;1 de enero de 1987;55421
