Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2010;8276017
Ambos sexos;Total;02 Arag�n;1 de enero de 2010;1344184
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2010;1077103
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2010;1083683
Ambos sexos;Total;05 Canarias;1 de enero de 2010;2045168
Ambos sexos;Total;06 Cantabria;1 de enero de 2010;588518
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2010;2547408
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2010;2084470
Ambos sexos;Total;09 Catalu�a;1 de enero de 2010;7463471
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2010;4989631
Ambos sexos;Total;11 Extremadura;1 de enero de 2010;1099605
Ambos sexos;Total;12 Galicia;1 de enero de 2010;2772457
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2010;6373532
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2010;1453545
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2010;633017
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2010;2179532
Ambos sexos;Total;17 Rioja, La;1 de enero de 2010;319939
Ambos sexos;Total;18 Ceuta;1 de enero de 2010;79294
Ambos sexos;Total;19 Melilla;1 de enero de 2010;76047
