Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1983;6562052
Ambos sexos;Total;02 Arag�n;1 de enero de 1983;1201960
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1983;1129917
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1983;668607
Ambos sexos;Total;05 Canarias;1 de enero de 1983;1397709
Ambos sexos;Total;06 Cantabria;1 de enero de 1983;519335
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1983;2590365
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1983;1657050
Ambos sexos;Total;09 Catalu�a;1 de enero de 1983;5999250
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1983;3704204
Ambos sexos;Total;11 Extremadura;1 de enero de 1983;1068985
Ambos sexos;Total;12 Galicia;1 de enero de 1983;2812906
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1983;4762083
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1983;976972
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1983;513275
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1983;2148550
Ambos sexos;Total;17 Rioja, La;1 de enero de 1983;257157
Ambos sexos;Total;18 Ceuta;1 de enero de 1983;65730
Ambos sexos;Total;19 Melilla;1 de enero de 1983;54045
