Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2002;7391401
Ambos sexos;Total;02 Arag�n;1 de enero de 2002;1209917
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2002;1062796
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2002;845130
Ambos sexos;Total;05 Canarias;1 de enero de 2002;1703846
Ambos sexos;Total;06 Cantabria;1 de enero de 2002;536289
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2002;2454840
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2002;1763493
Ambos sexos;Total;09 Catalu�a;1 de enero de 2002;6380503
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2002;4192287
Ambos sexos;Total;11 Extremadura;1 de enero de 2002;1057795
Ambos sexos;Total;12 Galicia;1 de enero de 2002;2696818
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2002;5478405
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2002;1206619
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2002;557454
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2002;2082911
Ambos sexos;Total;17 Rioja, La;1 de enero de 2002;277993
Ambos sexos;Total;18 Ceuta;1 de enero de 2002;70874
Ambos sexos;Total;19 Melilla;1 de enero de 2002;65901
