Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1997;7186526
Ambos sexos;Total;02 Arag�n;1 de enero de 1997;1198245
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1997;1079198
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1997;780019
Ambos sexos;Total;05 Canarias;1 de enero de 1997;1604650
Ambos sexos;Total;06 Cantabria;1 de enero de 1997;531994
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1997;2502823
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1997;1716289
Ambos sexos;Total;09 Catalu�a;1 de enero de 1997;6208372
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1997;4022992
Ambos sexos;Total;11 Extremadura;1 de enero de 1997;1063882
Ambos sexos;Total;12 Galicia;1 de enero de 1997;2717003
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1997;5198753
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1997;1128146
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1997;538100
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1997;2091894
Ambos sexos;Total;17 Rioja, La;1 de enero de 1997;270184
Ambos sexos;Total;18 Ceuta;1 de enero de 1997;69990
Ambos sexos;Total;19 Melilla;1 de enero de 1997;62267
