Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2004;7596513
Ambos sexos;Total;02 Arag�n;1 de enero de 2004;1237793
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2004;1062408
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2004;912964
Ambos sexos;Total;05 Canarias;1 de enero de 2004;1804255
Ambos sexos;Total;06 Cantabria;1 de enero de 2004;548009
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2004;2471114
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2004;1833549
Ambos sexos;Total;09 Catalu�a;1 de enero de 2004;6712745
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2004;4441947
Ambos sexos;Total;11 Extremadura;1 de enero de 2004;1064374
Ambos sexos;Total;12 Galicia;1 de enero de 2004;2711578
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2004;5766566
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2004;1276812
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2004;576346
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2004;2103103
Ambos sexos;Total;17 Rioja, La;1 de enero de 2004;291082
Ambos sexos;Total;18 Ceuta;1 de enero de 2004;71542
Ambos sexos;Total;19 Melilla;1 de enero de 2004;64754
