Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2015;8399618
Ambos sexos;Total;02 Arag�n;1 de enero de 2015;1326403
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2015;1049875
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2015;1124972
Ambos sexos;Total;05 Canarias;1 de enero de 2015;2126144
Ambos sexos;Total;06 Cantabria;1 de enero de 2015;585359
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2015;2478079
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2015;2062767
Ambos sexos;Total;09 Catalu�a;1 de enero de 2015;7396991
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2015;4939674
Ambos sexos;Total;11 Extremadura;1 de enero de 2015;1091623
Ambos sexos;Total;12 Galicia;1 de enero de 2015;2734656
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2015;6385298
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2015;1463773
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2015;636402
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2015;2165100
Ambos sexos;Total;17 Rioja, La;1 de enero de 2015;313569
Ambos sexos;Total;18 Ceuta;1 de enero de 2015;84692
Ambos sexos;Total;19 Melilla;1 de enero de 2015;84570
