Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1981;6434055
Ambos sexos;Total;02 Arag�n;1 de enero de 1981;1196788
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1981;1128756
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1981;653994
Ambos sexos;Total;05 Canarias;1 de enero de 1981;1363880
Ambos sexos;Total;06 Cantabria;1 de enero de 1981;512608
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1981;2585788
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1981;1650671
Ambos sexos;Total;09 Catalu�a;1 de enero de 1981;5943297
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1981;3638912
Ambos sexos;Total;11 Extremadura;1 de enero de 1981;1066992
Ambos sexos;Total;12 Galicia;1 de enero de 1981;2809703
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1981;4675012
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1981;953886
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1981;508756
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1981;2139360
Ambos sexos;Total;17 Rioja, La;1 de enero de 1981;254110
Ambos sexos;Total;18 Ceuta;1 de enero de 1981;65173
Ambos sexos;Total;19 Melilla;1 de enero de 1981;53647
