Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2001;7323031
Ambos sexos;Total;02 Arag�n;1 de enero de 2001;1202015
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2001;1064851
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2001;830428
Ambos sexos;Total;05 Canarias;1 de enero de 2001;1677983
Ambos sexos;Total;06 Cantabria;1 de enero de 2001;534231
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2001;2463479
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2001;1752002
Ambos sexos;Total;09 Catalu�a;1 de enero de 2001;6314849
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2001;4135183
Ambos sexos;Total;11 Extremadura;1 de enero de 2001;1059011
Ambos sexos;Total;12 Galicia;1 de enero de 2001;2698025
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2001;5379087
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2001;1184118
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2001;552060
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2001;2082971
Ambos sexos;Total;17 Rioja, La;1 de enero de 2001;275313
Ambos sexos;Total;18 Ceuta;1 de enero de 2001;71183
Ambos sexos;Total;19 Melilla;1 de enero de 2001;65725
