Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1991;6937107
Ambos sexos;Total;02 Arag�n;1 de enero de 1991;1189771
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1991;1095557
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1991;708917
Ambos sexos;Total;05 Canarias;1 de enero de 1991;1492835
Ambos sexos;Total;06 Cantabria;1 de enero de 1991;527567
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1991;2548508
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 1991;1659371
Ambos sexos;Total;09 Catalu�a;1 de enero de 1991;6061507
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1991;3855982
Ambos sexos;Total;11 Extremadura;1 de enero de 1991;1062741
Ambos sexos;Total;12 Galicia;1 de enero de 1991;2735558
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1991;4947735
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1991;1044764
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1991;519500
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1991;2106405
Ambos sexos;Total;17 Rioja, La;1 de enero de 1991;263376
Ambos sexos;Total;18 Ceuta;1 de enero de 1991;67610
Ambos sexos;Total;19 Melilla;1 de enero de 1991;56605
