Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2016;8403774
Ambos sexos;Total;02 Arag�n;1 de enero de 2016;1318571
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2016;1040925
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2016;1135527
Ambos sexos;Total;05 Canarias;1 de enero de 2016;2135209
Ambos sexos;Total;06 Cantabria;1 de enero de 2016;582504
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2016;2454454
Ambos sexos;Total;08 Castilla  La Mancha;1 de enero de 2016;2048900
Ambos sexos;Total;09 Catalu�a;1 de enero de 2016;7408290
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2016;4932347
Ambos sexos;Total;11 Extremadura;1 de enero de 2016;1084969
Ambos sexos;Total;12 Galicia;1 de enero de 2016;2720102
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2016;6424275
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2016;1466474
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2016;637486
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2016;2164066
Ambos sexos;Total;17 Rioja, La;1 de enero de 2016;312810
Ambos sexos;Total;18 Ceuta;1 de enero de 2016;84652
Ambos sexos;Total;19 Melilla;1 de enero de 2016;84764
