CCAA,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andalucia,0.7721425270710266,0.7798348009148196,0.760573654314642,0.7704602157983509,0.7630433222947638,0.781561592532091,0.7766852026357972,0.7749513062790025,0.7879142775311345,0.7896046058835302,0.8035584607370003,0.8091413322585337,0.7828759037563089,0.8099680851835567,0.7949336601210188,0.81243775032503,0.8201204448355439,0.8087913409065799,0.8466308128586304,0.8570493803994711,0.8285212461774256,0.8187729916751685,0.8353220181126689,0.8656284767379117,0.8298017787898212,0.8524966351710483,0.7936662312359557,0.8166682255283445,0.8078141792124849,0.7881420959441547,0.7790099996169655,0.7885419343316987,0.8159770651252612,0.7826612125422621,0.7905946864150437,0.8571937438107304,0.8238084460624475,0.8471338147719807,0.8656978150303671,0.836615878389122
Aragon,0.8632759769949387,0.8516128169734322,0.834280779784549,0.8983660021964126,0.9300352651540356,0.9557334859401541,0.9545563897506931,0.9237411391112649,0.9436528973073302,0.9703794738030147,0.9752835428653794,1.0071686063956844,0.9594046349105021,1.0130369737123317,1.0100173023849166,1.0411607500369904,1.0423801012311444,1.0620532528823403,1.0842481312105352,1.124615424368946,1.0478253624395935,1.0599701334841911,1.0732141130342,1.1173640196383214,1.0643944504452683,1.0901314499975299,1.0198905751400789,1.0260800496968892,1.0108448151764036,0.9881007880677223,0.9815620480529452,1.0081107054766603,1.0212905290261127,0.9977523858483996,1.0322233664663363,1.0810439964324567,1.0223946985031522,1.0796024436947205,1.073766215964086,1.0313603203426358
Asturias,0.918388515291191,0.8745911428156306,0.8910216718266254,0.9059957501303194,0.9223249784460035,0.9708306883708955,0.9420462144951696,0.956399713803616,0.9784358478805788,0.9923097794977332,1.0351371765309667,1.0501507452373542,1.0411081240838376,1.0739463081835479,1.0354644982944372,1.1039584678098824,1.1227341661786954,1.0922926098825239,1.139299561714925,1.1797030270868172,1.160081513675632,1.119968897056959,1.168991979646141,1.2003915957526923,1.1812787554310584,1.1952896010839753,1.1605208521393753,1.189064771973104,1.1895458886862897,1.1854721819600849,1.1814097630403035,1.1783874922505082,1.2241413975932325,1.1914193829942255,1.2098491465804198,1.2906298368853435,1.2684871628599563,1.2716129238105458,1.2882143663441104,1.261292989175361
Baleares,0.8587697190329505,0.8315060994443374,0.8619713119272845,0.9688800745430425,0.909889223137946,0.9551723427973092,0.9655598978277455,0.9213620461969743,0.896468457591307,0.9582198455377003,0.9559134205026557,0.9726103337908387,0.9227289211116099,0.9280146821863785,0.8954197078330414,0.9117347161442113,0.8840396274767173,0.892542361147613,0.8934262055700625,0.9217723677049137,0.8943941916988962,0.8453472185427274,0.8417639889721109,0.832569248706716,0.7722100761913941,0.782981819419566,0.7472008310934485,0.7195697504138546,0.7180288726620672,0.728299587726741,0.7089711659221377,0.7024190770718981,0.7329781096832513,0.6900186016764028,0.703236392998644,0.7397517449323183,0.6991467397957072,0.7257577534786934,0.7032169217677602,0.6728551951658784
Canarias,0.6383598181050549,0.6397190368654134,0.6374680723283865,0.6428376722193246,0.6459155982845456,0.6633071078238812,0.6409034826479642,0.6589555192955694,0.6897849168126094,0.6840378053764448,0.6787868656426669,0.6834646829689819,0.6789990242326589,0.695446277363106,0.6722515521937241,0.6609487331071924,0.6961864161084654,0.6875019474651793,0.722445221965194,0.7314942441845934,0.7251085251786853,0.7108534472637684,0.6962483698644126,0.7029133225455704,0.6937489434697424,0.6906599825702653,0.6681374956635813,0.6753093797708306,0.6758218725918638,0.6366867013645121,0.6259143503125415,0.6569401746158123,0.6750472691291358,0.6470070757047204,0.677638313918987,0.7106762288913638,0.7041465261714427,0.707867191603973,0.7491796230491932,0.7139423109600295
Cantabria,0.8164051066571589,0.8093904113864786,0.7855943381425806,0.836454311764083,0.8250727018638899,0.8541327649301338,0.839711815781553,0.8145133544074012,0.8620313510785826,0.88351176025789,0.8954154727793696,0.8984640813394318,0.9113992068537522,0.9305513077559159,0.9164075016492319,0.9471276485593532,0.976108020865273,0.9560258198400734,0.9702120308545077,1.0103265315311936,1.0001556005901575,0.950337962417007,0.9841708481807383,0.9967783326717683,0.9514442281057427,0.9681083127512665,0.9712285354750624,0.9882257695489185,0.9565780766579012,0.9429492606750989,0.9287736313927526,0.9487640342949596,0.9811153857191329,0.949601465670797,1.0037741499654576,1.0320162498569254,1.0190487962314423,1.0246338627905538,1.0486948084790142,1.0337991991623698
Castilla-La Mancha,0.9009687901276247,0.9216252057496618,0.8710603244666434,0.9392595274735223,0.9230175736807684,0.9620386694026184,0.9199438159967874,0.9071665070658713,0.912550091261027,0.9427403515382583,0.9308000508278496,0.9783225089506807,0.959726275632427,0.984766529733027,0.970603546146753,0.9658103603505463,0.9856520634162166,0.9479755449111427,0.9933448617975132,1.0047796388653216,0.9614016078454779,0.9848733049391496,0.9967150422485374,0.9922421266655611,0.9513244532870406,0.9620043500440767,0.9009897014102606,0.9205457325455987,0.8941209590575581,0.8599909892340221,0.837479071418634,0.8600528713608063,0.9046333791720167,0.8703245955506875,0.8856508562801507,0.9658386041661516,0.9343550197667041,0.9901324831364386,0.9630054191808993,0.9566671597349619
Castilla-Leon,0.815157107908083,0.834097768262518,0.7956858413065544,0.8500346476268789,0.8405070992583603,0.8841485783573587,0.8715334015630455,0.8689748180888983,0.9004700703746976,0.9012011732552928,0.9418857875576371,0.9615037504296632,0.9525207291694128,0.9673584558867031,0.9575817885829008,0.9851667598951082,0.9999171977159308,0.992679066797772,1.041213115516521,1.0622406505348247,1.038308135206515,1.0292354836391948,1.0733489759006696,1.0961092667181627,1.0659564876407968,1.1063293331534294,1.0482323155391722,1.0879396325354924,1.0776966908589745,1.064972418516743,1.0637086795676232,1.0637311484839032,1.1135875891670022,1.0921855941248222,1.11339994686838,1.182448178609318,1.1585468703019082,1.1896790752532878,1.2113426358537904,1.1927817577779596
Catalu̱a,0.7115553408009172,0.6970205258125246,0.675527015642947,0.7489936242030254,0.740023642439043,0.7829254573686306,0.7785097227251034,0.7823969120450268,0.8097753909601925,0.8356666765607016,0.8635323421066127,0.8708065502522723,0.8602884178285392,0.8690506426890034,0.8592951983505391,0.8799084725092104,0.8737570193560238,0.8904427763027087,0.899227397911653,0.9320218805575703,0.8901337094533416,0.8937189155275129,0.9068564030139944,0.9260308477668365,0.8597972960391017,0.8991214728726623,0.8253328974386624,0.8390321005110258,0.8221693288576101,0.8113676838933801,0.7998959197402924,0.8032293588951767,0.8380181908377282,0.8128277253562762,0.8268209335812758,0.8769241438849933,0.854299710189531,0.8891782710713682,0.8888304899223725,0.8530707348115294
Ceuta,0.7863817189379221,0.7349669341598515,0.7614949106502464,0.6739692682184695,0.6774472212539594,0.7417366608254274,0.7073306545065992,0.652594626220802,0.6648638149736296,0.7300681000386594,0.7440784987993952,0.7203076467978109,0.676659654903576,0.6661894257038087,0.6888350711312847,0.6506246573761505,0.7356420735642074,0.708672667523932,0.7481048484589893,0.7044948757565878,0.6365111848140569,0.642007220825197,0.7181759178260011,0.6961046266347912,0.6863101394984764,0.6904407985218732,0.657912809383842,0.7241588564493291,0.6604475628554722,0.715010010140142,0.6759653946074103,0.63091869111936,0.5808891062418742,0.6281496202711335,0.6011290360677422,0.5950975298729514,0.6001039550158296,0.6585678501287735,0.627867948221432,0.6330382298506407
