Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1980;6396876
Ambos sexos;Total;02 Arag�n;1 de enero de 1980;1194172
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1980;1123163
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1980;642780
Ambos sexos;Total;05 Canarias;1 de enero de 1980;1342973
Ambos sexos;Total;06 Cantabria;1 de enero de 1980;509061
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1980;2596432
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1980;1658770
Ambos sexos;Total;09 Catalu�a;1 de enero de 1980;5875439
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1980;3587910
Ambos sexos;Total;11 Extremadura;1 de enero de 1980;1077037
Ambos sexos;Total;12 Galicia;1 de enero de 1980;2797739
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1980;4602359
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1980;943673
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1980;505853
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1980;2121524
Ambos sexos;Total;17 Rioja, La;1 de enero de 1980;252222
Ambos sexos;Total;18 Ceuta;1 de enero de 1980;64854
Ambos sexos;Total;19 Melilla;1 de enero de 1980;54102
