Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1994;7074930
Ambos sexos;Total;02 Arag�n;1 de enero de 1994;1194633
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1994;1088497
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1994;744232
Ambos sexos;Total;05 Canarias;1 de enero de 1994;1549420
Ambos sexos;Total;06 Cantabria;1 de enero de 1994;530550
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1994;2528348
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1994;1688537
Ambos sexos;Total;09 Catalu�a;1 de enero de 1994;6136308
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1994;3942324
Ambos sexos;Total;11 Extremadura;1 de enero de 1994;1064776
Ambos sexos;Total;12 Galicia;1 de enero de 1994;2730117
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1994;5074384
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1994;1087209
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1994;528520
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1994;2100382
Ambos sexos;Total;17 Rioja, La;1 de enero de 1994;266807
Ambos sexos;Total;18 Ceuta;1 de enero de 1994;68957
Ambos sexos;Total;19 Melilla;1 de enero de 1994;59559
