Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1982;6497990
Ambos sexos;Total;02 Arag�n;1 de enero de 1982;1199716
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1982;1130500
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1982;662087
Ambos sexos;Total;05 Canarias;1 de enero de 1982;1382030
Ambos sexos;Total;06 Cantabria;1 de enero de 1982;516297
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1982;2587202
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1982;1652928
Ambos sexos;Total;09 Catalu�a;1 de enero de 1982;5976815
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1982;3675078
Ambos sexos;Total;11 Extremadura;1 de enero de 1982;1066915
Ambos sexos;Total;12 Galicia;1 de enero de 1982;2813893
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1982;4722808
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1982;965505
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1982;511278
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1982;2145860
Ambos sexos;Total;17 Rioja, La;1 de enero de 1982;255661
Ambos sexos;Total;18 Ceuta;1 de enero de 1982;65529
Ambos sexos;Total;19 Melilla;1 de enero de 1982;53778
