Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1988;6818889
Ambos sexos;Total;02 Arag�n;1 de enero de 1988;1198216
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1988;1115045
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1988;695730
Ambos sexos;Total;05 Canarias;1 de enero de 1988;1461760
Ambos sexos;Total;06 Cantabria;1 de enero de 1988;527127
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1988;2576210
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1988;1661717
Ambos sexos;Total;09 Catalu�a;1 de enero de 1988;6059952
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1988;3811224
Ambos sexos;Total;11 Extremadura;1 de enero de 1988;1068381
Ambos sexos;Total;12 Galicia;1 de enero de 1988;2776829
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1988;4902168
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1988;1022339
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1988;518612
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1988;2132852
Ambos sexos;Total;17 Rioja, La;1 de enero de 1988;261825
Ambos sexos;Total;18 Ceuta;1 de enero de 1988;66931
Ambos sexos;Total;19 Melilla;1 de enero de 1988;55770
