Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1986;6726921
Ambos sexos;Total;02 Arag�n;1 de enero de 1986;1201291
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1986;1122981
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1986;685509
Ambos sexos;Total;05 Canarias;1 de enero de 1986;1437814
Ambos sexos;Total;06 Cantabria;1 de enero de 1986;524942
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1986;2586361
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1986;1660971
Ambos sexos;Total;09 Catalu�a;1 de enero de 1986;6042956
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1986;3773692
Ambos sexos;Total;11 Extremadura;1 de enero de 1986;1069410
Ambos sexos;Total;12 Galicia;1 de enero de 1986;2796897
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1986;4853420
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1986;1005303
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1986;517233
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1986;2143503
Ambos sexos;Total;17 Rioja, La;1 de enero de 1986;260488
Ambos sexos;Total;18 Ceuta;1 de enero de 1986;66447
Ambos sexos;Total;19 Melilla;1 de enero de 1986;55056
