Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2019;8427404
Ambos sexos;Total;02 Arag�n;1 de enero de 2019;1320586
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2019;1022205
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2019;1188220
Ambos sexos;Total;05 Canarias;1 de enero de 2019;2206901
Ambos sexos;Total;06 Cantabria;1 de enero de 2019;581641
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2019;2407733
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2019;2034877
Ambos sexos;Total;09 Catalu�a;1 de enero de 2019;7566430
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2019;4974969
Ambos sexos;Total;11 Extremadura;1 de enero de 2019;1065424
Ambos sexos;Total;12 Galicia;1 de enero de 2019;2700441
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2019;6641648
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2019;1487663
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2019;649946
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2019;2177880
Ambos sexos;Total;17 Rioja, La;1 de enero de 2019;313571
Ambos sexos;Total;18 Ceuta;1 de enero de 2019;84829
Ambos sexos;Total;19 Melilla;1 de enero de 2019;84689
