Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2003;7490858
Ambos sexos;Total;02 Arag�n;1 de enero de 2003;1225563
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2003;1062320
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2003;883410
Ambos sexos;Total;05 Canarias;1 de enero de 2003;1755693
Ambos sexos;Total;06 Cantabria;1 de enero de 2003;541645
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2003;2463623
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2003;1797142
Ambos sexos;Total;09 Catalu�a;1 de enero de 2003;6556909
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2003;4322063
Ambos sexos;Total;11 Extremadura;1 de enero de 2003;1060356
Ambos sexos;Total;12 Galicia;1 de enero de 2003;2705158
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2003;5638827
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2003;1242632
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2003;567888
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2003;2092640
Ambos sexos;Total;17 Rioja, La;1 de enero de 2003;284609
Ambos sexos;Total;18 Ceuta;1 de enero de 2003;71110
Ambos sexos;Total;19 Melilla;1 de enero de 2003;65390
