Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1985;6676889
Ambos sexos;Total;02 Arag�n;1 de enero de 1985;1202218
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1985;1126355
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1985;679982
Ambos sexos;Total;05 Canarias;1 de enero de 1985;1425584
Ambos sexos;Total;06 Cantabria;1 de enero de 1985;523572
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1985;2589610
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1985;1660848
Ambos sexos;Total;09 Catalu�a;1 de enero de 1985;6028671
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1985;3753019
Ambos sexos;Total;11 Extremadura;1 de enero de 1985;1069795
Ambos sexos;Total;12 Galicia;1 de enero de 1985;2804629
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1985;4826262
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1985;996384
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1985;516322
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1985;2147171
Ambos sexos;Total;17 Rioja, La;1 de enero de 1985;259632
Ambos sexos;Total;18 Ceuta;1 de enero de 1985;66196
Ambos sexos;Total;19 Melilla;1 de enero de 1985;54694
