Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1990;6898938
Ambos sexos;Total;02 Arag�n;1 de enero de 1990;1193294
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1990;1102849
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1990;705294
Ambos sexos;Total;05 Canarias;1 de enero de 1990;1483529
Ambos sexos;Total;06 Cantabria;1 de enero de 1990;527688
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1990;2559546
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1990;1660507
Ambos sexos;Total;09 Catalu�a;1 de enero de 1990;6064741
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1990;3841820
Ambos sexos;Total;11 Extremadura;1 de enero de 1990;1065258
Ambos sexos;Total;12 Galicia;1 de enero de 1990;2751383
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1990;4937156
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1990;1037838
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1990;519631
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1990;2116888
Ambos sexos;Total;17 Rioja, La;1 de enero de 1990;263021
Ambos sexos;Total;18 Ceuta;1 de enero de 1990;67466
Ambos sexos;Total;19 Melilla;1 de enero de 1990;56379
