Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2018;8410094
Ambos sexos;Total;02 Arag�n;1 de enero de 2018;1313135
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2018;1027624
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2018;1166923
Ambos sexos;Total;05 Canarias;1 de enero de 2018;2177048
Ambos sexos;Total;06 Cantabria;1 de enero de 2018;581294
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2018;2418556
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2018;2032595
Ambos sexos;Total;09 Catalu�a;1 de enero de 2018;7488717
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2018;4946233
Ambos sexos;Total;11 Extremadura;1 de enero de 2018;1070453
Ambos sexos;Total;12 Galicia;1 de enero de 2018;2703149
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2018;6549519
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2018;1475569
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2018;643866
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2018;2170868
Ambos sexos;Total;17 Rioja, La;1 de enero de 2018;312884
Ambos sexos;Total;18 Ceuta;1 de enero de 2018;85209
Ambos sexos;Total;19 Melilla;1 de enero de 2018;84708
