Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2007;7986597
Ambos sexos;Total;02 Arag�n;1 de enero de 2007;1294246
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2007;1065291
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2007;1005184
Ambos sexos;Total;05 Canarias;1 de enero de 2007;1946071
Ambos sexos;Total;06 Cantabria;1 de enero de 2007;568190
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2007;2514202
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2007;1971222
Ambos sexos;Total;09 Catalu�a;1 de enero de 2007;7151693
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2007;4801628
Ambos sexos;Total;11 Extremadura;1 de enero de 2007;1081875
Ambos sexos;Total;12 Galicia;1 de enero de 2007;2741087
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2007;6074984
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2007;1385715
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2007;602831
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2007;2142601
Ambos sexos;Total;17 Rioja, La;1 de enero de 2007;308118
Ambos sexos;Total;18 Ceuta;1 de enero de 2007;74155
Ambos sexos;Total;19 Melilla;1 de enero de 2007;68968
