Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2017;8408825
Ambos sexos;Total;02 Arag�n;1 de enero de 2017;1316040
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2017;1034277
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2017;1150935
Ambos sexos;Total;05 Canarias;1 de enero de 2017;2154924
Ambos sexos;Total;06 Cantabria;1 de enero de 2017;581476
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2017;2435867
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2017;2040939
Ambos sexos;Total;09 Catalu�a;1 de enero de 2017;7441140
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2017;4935084
Ambos sexos;Total;11 Extremadura;1 de enero de 2017;1077506
Ambos sexos;Total;12 Galicia;1 de enero de 2017;2710129
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2017;6476705
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2017;1472977
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2017;640337
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2017;2167283
Ambos sexos;Total;17 Rioja, La;1 de enero de 2017;312618
Ambos sexos;Total;18 Ceuta;1 de enero de 2017;85033
Ambos sexos;Total;19 Melilla;1 de enero de 2017;84943
