Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1992;6981694
Ambos sexos;Total;02 Arag�n;1 de enero de 1992;1190530
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1992;1092874
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1992;719713
Ambos sexos;Total;05 Canarias;1 de enero de 1992;1510606
Ambos sexos;Total;06 Cantabria;1 de enero de 1992;528528
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1992;2541467
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1992;1667663
Ambos sexos;Total;09 Catalu�a;1 de enero de 1992;6082495
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1992;3882777
Ambos sexos;Total;11 Extremadura;1 de enero de 1992;1063112
Ambos sexos;Total;12 Galicia;1 de enero de 1992;2731875
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1992;4984663
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1992;1058075
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1992;522071
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1992;2103318
Ambos sexos;Total;17 Rioja, La;1 de enero de 1992;264477
Ambos sexos;Total;18 Ceuta;1 de enero de 1992;67981
Ambos sexos;Total;19 Melilla;1 de enero de 1992;57417
