Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2009;8212986
Ambos sexos;Total;02 Arag�n;1 de enero de 2009;1342778
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2009;1076280
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2009;1070164
Ambos sexos;Total;05 Canarias;1 de enero de 2009;2025486
Ambos sexos;Total;06 Cantabria;1 de enero de 2009;584655
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2009;2549174
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2009;2066417
Ambos sexos;Total;09 Catalu�a;1 de enero de 2009;7427089
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2009;4981276
Ambos sexos;Total;11 Extremadura;1 de enero de 2009;1094691
Ambos sexos;Total;12 Galicia;1 de enero de 2009;2767474
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2009;6327594
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2009;1441783
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2009;627276
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2009;2174080
Ambos sexos;Total;17 Rioja, La;1 de enero de 2009;319786
Ambos sexos;Total;18 Ceuta;1 de enero de 2009;76922
Ambos sexos;Total;19 Melilla;1 de enero de 2009;73361
