Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 2012;8377809
Ambos sexos;Total;02 Arag�n;1 de enero de 2012;1343790
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 2012;1074304
Ambos sexos;Total;04 Balears, Illes;1 de enero de 2012;1100715
Ambos sexos;Total;05 Canarias;1 de enero de 2012;2085928
Ambos sexos;Total;06 Cantabria;1 de enero de 2012;592387
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 2012;2537654
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 2012;2105936
Ambos sexos;Total;09 Catalu�a;1 de enero de 2012;7514992
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 2012;5009647
Ambos sexos;Total;11 Extremadura;1 de enero de 2012;1104343
Ambos sexos;Total;12 Galicia;1 de enero de 2012;2771916
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 2012;6425573
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 2012;1461928
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 2012;640023
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 2012;2184696
Ambos sexos;Total;17 Rioja, La;1 de enero de 2012;320951
Ambos sexos;Total;18 Ceuta;1 de enero de 2012;83837
Ambos sexos;Total;19 Melilla;1 de enero de 2012;81786
