Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1993;7030277
Ambos sexos;Total;02 Arag�n;1 de enero de 1993;1193145
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1993;1091116
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1993;732316
Ambos sexos;Total;05 Canarias;1 de enero de 1993;1530528
Ambos sexos;Total;06 Cantabria;1 de enero de 1993;529686
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1993;2535358
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1993;1678672
Ambos sexos;Total;09 Catalu�a;1 de enero de 1993;6110576
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1993;3913214
Ambos sexos;Total;11 Extremadura;1 de enero de 1993;1064385
Ambos sexos;Total;12 Galicia;1 de enero de 1993;2731249
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1993;5030383
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1993;1072937
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1993;525349
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1993;2102202
Ambos sexos;Total;17 Rioja, La;1 de enero de 1993;265665
Ambos sexos;Total;18 Ceuta;1 de enero de 1993;68449
Ambos sexos;Total;19 Melilla;1 de enero de 1993;58528
