Sexo;Edad;Comunidades y ciudades aut�nomas;Periodo;Total
Ambos sexos;Total;01 Andaluc�a;1 de enero de 1989;6860269
Ambos sexos;Total;02 Arag�n;1 de enero de 1989;1196130
Ambos sexos;Total;03 Asturias, Principado de;1 de enero de 1989;1109331
Ambos sexos;Total;04 Balears, Illes;1 de enero de 1989;700883
Ambos sexos;Total;05 Canarias;1 de enero de 1989;1473018
Ambos sexos;Total;06 Cantabria;1 de enero de 1989;527667
Ambos sexos;Total;07 Castilla y Le�n;1 de enero de 1989;2568239
Ambos sexos;Total;08 Castilla - La Mancha;1 de enero de 1989;1661327
Ambos sexos;Total;09 Catalu�a;1 de enero de 1989;6064260
Ambos sexos;Total;10 Comunitat Valenciana;1 de enero de 1989;3827276
Ambos sexos;Total;11 Extremadura;1 de enero de 1989;1067212
Ambos sexos;Total;12 Galicia;1 de enero de 1989;2764881
Ambos sexos;Total;13 Madrid, Comunidad de;1 de enero de 1989;4920827
Ambos sexos;Total;14 Murcia, Regi�n de;1 de enero de 1989;1030440
Ambos sexos;Total;15 Navarra, Comunidad Foral de;1 de enero de 1989;519251
Ambos sexos;Total;16 Pa�s Vasco;1 de enero de 1989;2125498
Ambos sexos;Total;17 Rioja, La;1 de enero de 1989;262429
Ambos sexos;Total;18 Ceuta;1 de enero de 1989;67254
Ambos sexos;Total;19 Melilla;1 de enero de 1989;56109
